hour,0,1,2,3
0,0.12347172227839569,0.128676831707927,0.3934516129032258,0.18527264021887824
1,0.09947470010905127,0.10658876454265016,0.39249999999999996,0.15185518203170872
2,0.09461910409827386,0.09451275428995877,0.319015625,0.13176591005816427
3,0.08957099236641222,0.08960657293688203,0.2352936507936508,0.12099113329418673
4,0.08749203925845148,0.08648305285906961,0.16375396825396824,0.11381808573106285
5,0.08706266085059979,0.086832111555394,0.12399206349206349,0.11734815032295946
6,0.08947125408942203,0.10235256992158508,0.13753968253968252,0.12582812683499706
7,0.09646828789531078,0.1373116809982659,0.17565079365079367,0.17252149148561363
8,0.11275834242093782,0.2039217077214512,0.25113492063492066,0.23759660716382713
9,0.1280437731733915,0.263693260076316,0.29703174603174604,0.3291548009395161
10,0.13535044711014177,0.29925134112516794,0.3897222222222222,0.4171353793305907
11,0.14180268266085058,0.30150594617357224,0.32103174603174606,0.4941454057545484
12,0.15634625954198472,0.30900489671250525,0.23023015873015873,0.5235726958308843
13,0.19812285714285713,0.31822794939942356,0.3148492063492063,0.551522284791542
14,0.21209182115594333,0.2618458078499688,0.44217460317460316,0.4755722742219592
15,0.16383173391494005,0.22805924952608722,0.3161349206349206,0.3933712507339971
16,0.16126218102508177,0.2295362300776204,0.21307936507936506,0.3661392671755711
17,0.15051912758996727,0.2324825617311539,0.2970238095238095,0.3937096658837339
18,0.1577181461286805,0.27188742891308276,0.3583015873015873,0.4279164081033467
19,0.16473703380588878,0.35509479679189354,0.3281111111111111,0.4435799177921315
20,0.1774492693565976,0.40736480342634146,0.3480714285714286,0.4654917938931297
21,0.17716043620501637,0.3414763730559313,0.5514285714285715,0.437065854374633
22,0.16204826608505998,0.2211458441341748,0.45185714285714285,0.33793984145625366
23,0.1395695092693566,0.14563237428482703,0.5572222222222222,0.23810980622431002
total_mean_consumption,3.306442647532613,5.2224949098112505,7.608602158538145,7.651423973647544
