hogar,mean,median,min,max,std,p25,p50,p75
ABLD_Consumos_2023-02_2025-01_,0.20335874757602987,0.104,0.0,2.33,0.23263346534363485,0.071,0.104,0.2215
AJVG_Consumos_2023-01_2024-12_,0.24276616256225156,0.084,0.0,4.021,0.3761267723297563,0.051,0.084,0.229
ATF_Consumos_2024-03_2024-12_,0.1474763412338496,0.114,0.0,2.273,0.15150655694352333,0.073,0.114,0.154
FJAG_Consumos_2023-01_2024-12_,0.44300252655756533,0.246,0.048,5.326,0.7117970324351829,0.171,0.246,0.41
FMB_Consumos_2023-03_2025-02_,0.1980661423477114,0.129,0.0,3.138,0.23069897278727358,0.053,0.129,0.244
GPC_Consumos_2023-01_2024-12_,0.16863544569835975,0.098,0.0,2.567,0.1995520479477386,0.065,0.098,0.173
JACL_Consumos_2023-01_2024-12_,0.1344303010919724,0.097,0.0,1.584,0.16571632884540372,0.064,0.097,0.136
JALG_Consumos_2023-01_2024-12_,0.2845970210627313,0.18,0.0,2.34,0.2668167870109389,0.108,0.18,0.361
JLG_Consumos_2023-01_2024-12_,0.14754877324439164,0.094,0.0,2.256,0.17054398369324947,0.059,0.094,0.156
JMM_Consumos_2023-01_2024-12_,0.276743455018961,0.201,0.0,5.359,0.3178853009168114,0.139,0.201,0.291
LFZA_Consumos_2023-01_2024-12_,0.16797834330881345,0.107,0.0,2.596,0.21797081783007274,0.071,0.107,0.167
MANA_Consumos_2023-01_2024-12_,0.2825540731941335,0.183,0.0,2.731,0.29785132400337433,0.118,0.183,0.326
MBGV_Consumos_2023-01_2024-12_,0.19844112943756567,0.113,0.0,2.429,0.2067068028924664,0.084,0.113,0.212
MJS_Consumos_2024-12_2024-12_,0.69824267453294,0.44,0.0,4.181,0.6199790849717797,0.236,0.44,1.0
MTTA_Consumos_2023-02_2025-01_,0.30702118904602,0.216,0.0,4.277,0.32340673684938404,0.123,0.216,0.342
PAA_Consumos_2023-01_2024-12_,0.2662452597432266,0.126,0.0,3.853,0.3399552783993819,0.0595,0.126,0.339
RFM_Consumos_2023-01_2024-12_,0.12631461598208985,0.102,0.0,1.754,0.0895863200674674,0.085,0.102,0.133
RTF_Consumos_2023-01_2024-12_,0.3141667199707589,0.176,0.0,3.132,0.3186550505527088,0.106,0.176,0.3995
